Street_Address,City,State,Zip,Country,Phone,Lat,Lon,Family_Name
9125 Sleepy Rabbit Swale, Luna, ID, 83420-0669, US, (208) 921-0380,32.325,-92.2219,Smith
2347 Misty Stead, Tishomingo, MD, 21229-0697, US, (240) 180-4442,34.6367,-88.2317,Johnston
4722 Harvest Oak Common, Neighbors Mill, WI, 54512-3700, US, (920) 413-0713,34.3886,-86.4247,Roach
4510 Rocky Glen, Gipsy, BC, V8X-2P0, CA, (604) 713-0275,40.8072,-78.8767,Zamora
7329 Grand Hill, Ebbetts Pass Highlands, NY, 14978-1740, US, (212) 795-2922,38.2086,-120.369,Dominguez
1935 Crystal Isle, La Parita, SK, S8C-4Y2, CA, (306) 322-4923,28.8469,-98.5931,Steele
935 Burning Beacon Wood, Cordova, TX, 75384-2838, US, (214) 923-9563,33.5569,-84.3756,Williams
6636 Foggy Fox Mall , Giesboro, ND, 58028-7608, US, (701) 059-0329,38.8444,-77.0167,Mercado
8649 Thunder Grove Dell, Lindsey, SK, S7Q-6U0, CA, (306) 359-5990,37.5392,-82.0294,Glover
6811 Pleasant Front, Topsy, MD, 21291-4901, US, (301) 520-3831,30.4092,-93.1222,Little
5667 Silver Cloud Corner, Davis Mill, RI, 02956-3486, US, (401) 101-6983,39.4247,-75.3669,Malone
4291 Old Crossing, South Freeport, ID, 83425-7843, US, (208) 286-6950,43.8197,-70.11,Dyer
4802 Umber Pine Island, Topaz Po, MT, 59957-8646, US, (406) 539-7462,38.6111,-119.51799999999999,Mcclain
9387 Quaking Acres, Rogers Mesa, AR, 72129-2069, US, (479) 443-0671,38.7792,-107.79299999999999,Yang
8971 Merry Crest, Fountain Park, OR, 97744-3214, US, (503) 650-3182,40.7792,-87.1617,Ward
2387 Noble Hickory Path, Arlingwood, AB, T6R-7U8, CA, (403) 527-6970,38.9275,-77.1222,Rose
4266 Rustic Manor, Chumstick, KS, 66378-7938, US, (620) 127-7594,47.6883,-120.63799999999999,Hurley
3047 Cozy Grounds, Underwood, NS, B6H-0S6, CA, (902) 571-3341,33.1275,-83.1147,Snow
6737 Silent Line, Disco, NE, 68114-2108, US, (531) 177-6866,42.6839,-83.0344,Ellison
312 Round Fawn Estates, Rosegate Manor, SK, S8U-1C0, CA, (306) 180-0741,33.5767,-84.6103,Forbes
8741 Blue Horse Heights, Noris, WA, 98207-9209, US, (425) 069-8499,37.9972,-82.7192,Huang
9573 Red Mountain By-pass, Adelphi Park, ND, 58646-7981, US, (701) 244-5885,38.9864,-76.9683,Golden
3691 Amber Bluff Mews, Sparland, KS, 66347-0879, US, (913) 233-2325,41.0286,-89.4383,Romero
7719 Hazy Close, North Avondale, MN, 56547-4866, US, (507) 909-3698,38.2619,-104.346,Vance
6484 Shady Chase, Del Mar Woods, WV, 26390-3967, US, (304) 395-0921,42.2,-87.855,Frank
3076 High Plaza, Wheeler Corner, QC, H9J-0B0, CA, (450) 282-2103,47.5508,-117.971,Edwards
765 Jagged Freeway, Duquesne, AK, 99810-5490, US, (907) 648-6553,37.0767,-94.4592,Finley
9303 Velvet View, Millburg, MA, 01519-2338, US, (508) 309-6229,42.1228,-86.3417,Schwartz
2438 Little Butterfly Round, Taylorville, WI, 54171-3108, US, (715) 390-4049,46.1414,-123.398,Pugh
1927 Indian Leaf Trail, Tyrol, WA, 98269-5044, US, (253) 186-3487,40.6783,-116.15299999999999,Odom
4464 Clear Nook, Woodson, AR, 72577-1371, US, (479) 220-7197,34.5292,-92.2108,Chung
9505 Stony Maze, Talla Bena, NY, 12379-8323, US, (315) 080-8078,32.4917,-91.1533,Bean
9046 Fallen Street, Orla, AR, 72754-7602, US, (501) 037-6406,31.825,-103.90799999999999,Suarez
7717 Cinder Park, Buck Settlement, MT, 59314-8614, US, (406) 486-8180,42.2911,-77.4003,Larsen
110 Lazy Hills Promenade, Ava, RI, 02949-4711, US, (401) 229-6260,39.8317,-81.575,Huerta
9850 Iron View Limits, Blythe Crossing, HI, 96754-6824, US, (808) 138-9061,34.7942,-88.1683,Patrick
276 Quiet Forest Route, Tobermory, MS, 39754-2991, US, (662) 922-7384,45.25,-81.6667,Acevedo
8526 Bright Moor, Woolum, IN, 47517-1211, US, (260) 610-3273,35.9722,-92.8833,Cohen
5633 Dewy Brook Run, Thibodaux Junction, MT, 59262-2772, US, (406) 392-6321,29.7528,-90.7994,Cordova
6306 Green Bank, New Market, WA, 98748-2215, US, (509) 843-2467,40.5742,-74.4528,Stephenson
777 Sunny Bay, Raritan, NE, 68030-4301, US, (402) 348-6428,40.5694,-74.6333,Knapp
4269 Lost Canyon, Loyd, NM, 87843-8347, US, (505) 663-9732,37.4342,-90.0725,Solis
6749 Hidden Quay, Privett, CO, 80355-7627, US, (720) 040-1840,37.4019,-83.9006,Dillon
7107 Cotton Grove, Rocky Creek, MT, 59363-7814, US, (406) 250-1920,30.2533,-98.5267,Curry
2265 Heather Prairie Lookout, North Solon, MD, 21891-8909, US, (301) 141-0166,41.4242,-81.4806,Black
596 Wishing Via, Vaiden, PE, C5H-5G7, CA, (902) 221-8049,32.5197,-87.3711,Buchanan
3348 Tawny Range, Langhorne Manor, ND, 58948-3474, US, (701) 203-0700,40.1669,-74.9181,Simmons
5458 Gentle Lane, Dutch Acres, RI, 02903-3116, US, (401) 637-8334,38.7506,-75.1797,Roberson
2654 Colonial Woods, Honeyford, AL, 36711-4096, US, (251) 873-6123,48.0333,-97.4703,Velez
8178 Emerald Downs, Warnock, SC, 29712-3135, US, (803) 970-9473,38.3956,-90.2692,Pearson
