Adults,Children,Daughter,Daughter2,Family_Name,Father,Father2,Mother,Mother2,Son,Son2,Street_Address,City,State,Zip,Country,Phone,Lat,Lon
2,3,Consuela Bond,,Bond,James Bond,,Maria Bond,,Jack Bond,,7748 Silent Prairie Terrace, Kincaid, KY, 41635-8335, US, (606) 699-2527,37.9506,-79.9392
2,3,Lupe Hernandez,,Hernandez,Caesar Hernandez,,Gloria Hernandez,,Carlito Hernandez,,6776 Sunny Rise, Goodlake, YK, Y0E-2D6, CA, (867) 973-3206,33.7069,-94.6422
2,3,Zoe Green,,Green,Thomas Green,,Claire Green,,,,3111 Hidden Isle, Newark, PE, C9X-3K1, CA, (902) 865-9392,40.7356,-74.1728
2,3,Greysi Singh,,Singh,Amar Singh,,Chuni Singh,,Haashim Singh,,1560 Jagged Common, Lane, NV, 89374-1669, US, (702) 224-8546,38.4397,-95.0819
2,1,,,Abbott,Gerry Abbott,,Nelle Abbott,,,,9028 Gentle Drive, East Village, AK, 99991-3761, US, (907) 641-3821,42.3772,-72.4981
2,2,,,Acevedo,Harris Acevedo,,Ninfa Acevedo,,Harland Acevedo,,276 Quiet Forest Route, Tobermory, MS, 39754-2991, US, (662) 922-7384,45.25,-81.6667
2,2,Debbi Acosta,,Acosta,Harland Acosta,,Jaye Acosta,,,,6992 Thunder Goose Street, Bellaire, WI, 54666-9544, US, (534) 807-6771,33.5042,-91.3592
2,2,,,Adams,Gerard Adams,,Debbi Adams,,Bertram Adams,,7846 Cotton Log Avenue, Captiva, SD, 57373-2625, US, (605) 471-9073,26.5217,-82.1894
2,1,,,Adkins,Bertram Adkins,,Dianne Adkins,,,,7553 Merry Elk Wharf, York, ON, N6S-7J7, CA, (226) 205-2575,47.7092,-122.152
2,2,,,Aguilar,Mickey Aguilar,,Katelynn Aguilar,,Tommie Aguilar,,8590 Burning Lane, Folk, PA, 17502-6047, US, (814) 444-2591,38.4214,-92.0978
2,1,,,Aguirre,Tommie Aguirre,,Hannah Aguirre,,,,7879 Burning Pike, Sillman Estates, UT, 84501-0844, US, (801) 974-1963,39.0269,-76.4972
2,2,,,Alexander,Sung Alexander,,Melodie Alexander,,Nathan Alexander,,6192 Merry Fawn Point, West Farmington, MD, 21877-8523, US, (410) 037-2605,44.6628,-70.1558
2,2,Keely Ali,,Ali,Nathan Ali,,Delsie Ali,,,,1968 Blue Forest Pike, Sutherlin, MT, 59074-3562, US, (406) 993-5054,43.3903,-123.311
2,2,,,Allen,Moses Allen,,Keely Allen,,Dewitt Allen,,8798 Rustic Gardens, Mountain Lake Camp, SD, 57623-4303, US, (605) 096-1464,35.295,-82.4736
2,1,,,Allison,Dewitt Allison,,Belen Allison,,,,7794 Lost Apple Pike, Cable, CA, 91831-9849, US, (626) 293-6798,41.2839,-90.5072
2,2,,,Alvarado,Beau Alvarado,,Tamica Alvarado,,Herman Alvarado,,5161 Cozy Court, Azor, ON, L3D-5R2, CA, (519) 207-7597,33.5917,-93.4247
2,1,,,Alvarez,Herman Alvarez,,Loria Alvarez,,,,7200 Harvest Pike, Chatsworth, WY, 82996-4150, US, (307) 749-3856,42.9161,-96.5161
2,2,,,Andersen,Winston Andersen,,Debby Andersen,,Dominic Andersen,,535 Sunny Turnabout, Oakview Estates Subdivision Number 1, WI, 54889-2682, US, (715) 710-1117,40.6108,-111.808
2,2,Fidelia Anderson,,Anderson,Dominic Anderson,,Willodean Anderson,,,,8355 Noble Point, Pleasant View, OK, 74486-6205, US, (918) 998-2385,45.5072,-84.9144
2,2,,,Andrade,Maximo Andrade,,Fidelia Andrade,,Vicente Andrade,,6256 Clear Corners, Indian Town, AL, 36605-4430, US, (205) 449-5838,38.3689,-77.7989
2,1,,,Andrews,Vicente Andrews,,Renetta Andrews,,,,3432 Colonial Hills Farm, Cormorant, MB, R8W-1A5, CA, (204) 801-1810,54.2167,-100.6
2,2,,,Anthony,Gordon Anthony,,Margarete Anthony,,Scott Anthony,,5472 Golden Sky Street, Weleetka, PA, 18617-2683, US, (610) 197-9159,35.3356,-96.1361
2,5,Isabelle Archer,Margarett Archer,Archer,Scott Archer,,Elana Archer,,Morgan Archer,Dustin Archer,6373 Jagged Hill, Goshen Villa, VA, 24451-0201, US, (757) 587-2211,32.2611,-81.2061
2,2,,,Arellano,Morgan Arellano,,Isabelle Arellano,,Dustin Arellano,,2837 Cozy Grove Dale, Irma, NW, X3C-4T1, CA, (867) 167-8534,37.3881,-88.2478
2,2,Barabara Arias,,Arias,Dustin Arias,,Margarett Arias,,,,8419 Old Turnabout, Oleum, OR, 97911-9286, US, (971) 463-9477,38.0447,-122.247
2,2,,,Armstrong,Marlin Armstrong,,Barabara Armstrong,,Saul Armstrong,,7151 Rustic Village, East Laport, NS, B5K-7J4, CA, (902) 771-8310,35.3017,-83.1506
2,2,Claudia Arnold,,Arnold,Saul Arnold,,Susannah Arnold,,,,2866 Cotton Apple Farms, Croftville, SC, 29479-8384, US, (803) 656-1601,47.765,-90.2756
2,2,,,Arroyo,Hans Arroyo,,Lavina Arroyo,,Forrest Arroyo,,9807 Sleepy Dell, Glasgow, GA, 39879-7605, US, (912) 047-7809,30.7222,-83.8756
2,1,,,Ashley,Forrest Ashley,,Claudia Ashley,,,,3270 Silver Mount, Hardscrabble, BC, V5N-6D8, CA, (604) 212-7632,42.3219,-74.5789
2,2,,,Atkins,Doyle Atkins,,Mardell Atkins,,Rico Atkins,,5574 Lazy Cloud Trace, Amite, CA, 93362-5391, US, (415) 884-4078,30.7264,-90.5089
2,2,Terina Atkinson,,Atkinson,Rico Atkinson,,Mable Atkinson,,,,7738 Umber Point, Audelia, IL, 62147-4070, US, (630) 843-4179,32.9092,-96.7169
2,2,,,Austin,Ali Austin,,Terina Austin,,Donald Austin,,7097 Burning Autoroute, Habberton, IA, 51188-2928, US, (712) 483-2225,36.115,-94.0514
1,3,Modesta Avery,,Avery,,,Charla Avery,,Landon Avery,,2751 Rustic Bay, Mylintee Estates, AZ, 85355-7349, US, (623) 269-3364,34.6489,-82.8931
2,2,,,Avila,Landon Avila,,Modesta Avila,,Raphael Avila,,781 Little Hills Subdivision, Oak Hill, BC, V7C-3C7, CA, (604) 597-5149,38.8939,-82.5736
1,3,Stefania Ayala,,Ayala,Raphael Ayala,,,,Danial Ayala,,5512 Harvest Landing, Dodgingtown, NS, B8U-8N3, CA, (902) 133-4177,41.3792,-73.3567
2,2,,,Ayers,Danial Ayers,,Stefania Ayers,,Everett Ayers,,5424 Harvest Falls, Pikeview, BC, V3R-5S6, CA, (778) 161-9336,38.9153,-104.822
2,2,Bryanna Bailey,,Bailey,Everett Bailey,,Cinda Bailey,,,,1537 Silver Autumn Port, Cresthill, NE, 69671-2289, US, (402) 852-7678,31.9897,-81.0875
2,2,,,Baird,Kyle Baird,,Bryanna Baird,,Jesse Baird,,4934 Fallen End, Oakhurst, RI, 02957-9347, US, (401) 100-1969,37.2,-77.3722
2,1,,,Baker,Jesse Baker,,Thao Baker,,,,8393 Cozy Walk, Farler, NV, 89138-3029, US, (775) 758-5807,37.1547,-83.1922
2,2,,,Baldwin,Hilario Baldwin,,Cherry Baldwin,,Maynard Baldwin,,9511 Iron Turnabout, Chulio Hills, MI, 49658-0398, US, (269) 381-7391,34.2125,-85.1317
2,4,Ruby Ball,Jeannetta Ball,Ball,,,Susana Ball,Stefania Ball,Robert Ball,,6793 Easy Hickory Path, Clappertown, WI, 53044-7009, US, (920) 139-8558,40.4031,-78.2756
2,4,Jeannetta Ballard,,Ballard,Augustus Ballard,,Ruby Ballard,,Robert Ballard,Merlin Ballard,7590 Emerald Valley, Standish, MD, 21891-7165, US, (443) 176-7289,43.9831,-83.9589
2,2,Thomasine Banks,,Banks,Robert Banks,,Jeannetta Banks,,,,3232 Gentle Stead, Trinity, ME, 04671-4714, US, (207) 915-4639,36.1636,-87.8308
2,2,,,Barajas,Merlin Barajas,,Thomasine Barajas,,Theodore Barajas,,388 Old Grove Grounds, South Athol, VT, 05306-8890, US, (802) 706-1867,42.5314,-72.2625
2,4,Irish Barber,Armandina Barber,Barber,Theodore Barber,Hilario Barber,,,Nicky Barber,,414 Golden Cloud Street, Bakers, NY, 11430-0091, US, (585) 278-6367,32.3411,-91.5211
2,2,,,Barker,Ariel Barker,,Irish Barker,,Nicky Barker,,9308 Heather Path, Hampton Woods, AR, 72414-7903, US, (479) 964-4828,35.1744,-85.2239
2,1,,,Barnes,Nicky Barnes,,Armandina Barnes,,,,1981 Amber River Cape, Porum, DC, 20094-6569, US, (202) 611-0051,35.3561,-95.2653
2,2,,,Barnett,Jay Barnett,,Ethyl Barnett,,Forest Barnett,,4667 Broad Mews, Pikeville, AB, T1E-8T2, CA, (587) 575-6813,35.6056,-85.1889
2,2,Cindi Barr,,Barr,Forest Barr,,Sueann Barr,,,,4793 Misty Abbey, Slickrock Ford, UT, 84056-0166, US, (385) 442-0434,35.1992,-83.525
2,2,Lavona Barrera,,Barrera,Henry Barrera,,Cindi Barrera,,,,5292 Cozy Link, Jobs Corner, AL, 35123-3529, US, (251) 346-5414,42.3989,-77.5572
2,1,,,Barrett,Collin Barrett,,Staci Barrett,,,,1492 Easy Cider Forest, Smyrna, SK, S0F-0C4, CA, (306) 926-8872,33.8839,-84.5144
2,2,,,Barron,Blake Barron,,Lavona Barron,,Mohammad Barron,,9645 Rocky Panda Loop, Kimball Mill, MI, 48308-1206, US, (947) 841-9906,44.0856,-75.3483
2,1,,,Barry,Mohammad Barry,,Collen Barry,,,,975 Cotton Quay, Gold Creek, MB, R7K-4X7, CA, (204) 519-1984,35.0119,-92.4139
